id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-11-29T01:03:00;Loop;CANCELLED;PAYPAL;2021-11-28T19:23:25;22604
2;calculating;2021-11-29T01:31:23;haptic 1080p;ISSUED;PAYPAL;2021-11-28T12:45:03;10489
3;national Frozen Berkshire;2021-11-29T01:46:13;Account Borders Home;PAID;CREDIT_CARD;2021-11-28T16:29:04;36325
4;monitor;2021-11-28T11:48:49;parse intuitive Division;CANCELLED;PAYPAL;2021-11-28T13:23:50;13687
5;synergy transmitting;2021-11-28T11:51:04;parse Gloves;ISSUED;PAYPAL;2021-11-28T20:27:42;92472
6;function;2021-11-28T16:44:32;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-11-29T03:51:33;26944
7;Maine;2021-11-29T03:10:55;RAM;ISSUED;PAYPAL;2021-11-29T08:12:47;32458
8;Analyst Agent;2021-11-29T07:05:37;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-11-29T04:07:19;79389
9;Salad;2021-11-28T13:14:19;Gorgeous;ISSUED;CREDIT_CARD;2021-11-28T22:00:43;62169
10;Pants Wooden Intuitive;2021-11-28T22:38:16;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-11-28T18:32:53;58737
