id;placed_date;status;code;invoice_id;customer_id
1;2021-11-29T00:38:16;COMPLETED;Electronics;57858;1
2;2021-11-29T04:16:16;CANCELLED;withdrawal virtual;42917;2
3;2021-11-28T11:18:36;COMPLETED;compress Soft cross-platform;960;2
4;2021-11-28T21:28:08;COMPLETED;Expanded;88753;1
5;2021-11-28T17:36:18;CANCELLED;Hat;10576;1
6;2021-11-28T18:15:04;PENDING;Regional harness Holy;55347;2
7;2021-11-28T10:15:51;COMPLETED;Decentralized Visionary;88231;1
8;2021-11-28T12:34:50;COMPLETED;Credit Soft Cotton;23331;2
9;2021-11-28T16:03:16;PENDING;Implemented;30578;1
10;2021-11-29T04:15:09;PENDING;solution protocol;72463;2
